id,Date,Complete_Hour,latitude,longitude,PM1,PM2.5,PM10,CO2,TVOC,O3,CO,NO2,CH2O,temperature,humidity
1,09.03.2024,23:21:46,1,1,0,0,0,0,0,0,0,0,0,0,0
2,09.03.2024,23:22:01,1,1,0,0,0,500,0,0,0.5,0.01,0.01,21.6,89
3,09.03.2024,23:22:16,1,1,5,7,7,500,0,0.09,0.5,0.01,0.06,21.1,90
4,09.03.2024,23:22:31,1,1,8,11,13,500,0,0.07,0.5,0.01,0.05,21,91
5,09.03.2024,23:22:46,1,1,7,9,9,542,0,0.13,0.5,0.01,0.05,20.9,92
6,09.03.2024,23:23:01,1,1,5,8,8,531,0,0.2,0.5,0.01,0.04,21,91
7,09.03.2024,23:23:16,1,1,5,8,8,524,0,0.24,0.5,0.01,0.05,20.9,91
8,09.03.2024,23:23:31,1,1,5,7,7,522,100,0.25,0.5,0.01,0.04,21.1,91
9,09.03.2024,23:23:46,1,1,5,8,8,519,107,0.26,0.5,0.01,0.05,21.2,91
10,09.03.2024,23:24:01,1,1,5,8,8,515,114,0.22,0.5,0.01,0.05,21.3,91
11,09.03.2024,23:24:16,1,1,5,4,8,519,121,0.29,0.6,0.01,0.04,21.4,91
12,09.03.2024,23:24:31,1,1,6,11,8,523,128,0.25,0.6,0.01,0.05,21.3,91
13,09.03.2024,23:24:46,1,1,7,13,9,521,135,0.21,0.7,0.01,0.04,21.4,90
14,09.03.2024,23:25:01,1,1,7,16,11,512,142,0.19,0.8,0.01,0.05,21.2,91
15,09.03.2024,23:25:16,1,1,9,18,14,510,149,0.22,0.8,0.01,0.04,21.3,91
16,09.03.2024,23:25:31,1,1,9,21,14,511,156,0.18,0.9,0.01,0.04,21.1,91
17,09.03.2024,23:25:46,1,1,9,24,14,513,163,0.14,1.2,0.01,0.05,21.4,91
18,09.03.2024,23:26:01,1,1,7,27,11,511,170,0.14,1.3,0.01,0.04,21.1,91
19,09.03.2024,23:26:16,1,1,7,31,10,500,177,0.15,1.3,0.01,0.04,21.1,91
20,09.03.2024,23:26:31,1,1,7,35,9,500,184,0.17,1.5,0.01,0.04,21.2,91
21,09.03.2024,23:26:46,1,1,7,37,9,500,191,0.14,1.5,0.01,0.05,21.2,91
22,09.03.2024,23:27:01,1,1,8,42,12,501,198,0.15,1.6,0.01,0.04,21.2,91
23,09.03.2024,23:27:16,1,1,8,45,12,491,205,0.14,1.6,0.01,0.05,20.8,92
24,09.03.2024,23:27:31,1,1,7,47,11,498,212,0.14,1.6,0.01,0.05,20.9,92
25,09.03.2024,23:27:46,1,1,8,48,12,502,219,0.14,1.6,0.01,0.04,20.5,93
26,09.03.2024,23:28:01,1,1,7,49,9,507,226,0.14,1.6,0.01,0.04,20.7,93
27,09.03.2024,23:28:16,1,1,7,53,9,508,233,0.14,1.6,0.01,0.04,21.1,92
28,09.03.2024,23:28:31,1,1,7,54,9,500,240,0.15,0.9,0.01,0.04,21.1,91
29,09.03.2024,23:28:47,1,1,5,57,8,500,247,0.15,0.6,0.01,0.04,21.3,91
30,09.03.2024,23:29:02,1,1,5,59,7,508,254,0.15,0.8,0.01,0.04,21.3,91
31,09.03.2024,23:29:17,1,1,5,60,7,498,261,0.15,1.1,0.01,0.04,21.4,91
32,09.03.2024,23:29:32,1,1,5,60,7,501,438,0.15,1.5,0.01,0.04,21.3,90
33,09.03.2024,23:29:47,1,1,5,68,8,499,313,0.14,1.8,0.01,0.04,21,91
34,09.03.2024,23:30:02,1,1,5,69,8,500,383,0.14,2.2,0.01,0.04,21.2,92
35,09.03.2024,23:30:17,1,1,5,72,8,500,458,0.14,2.5,0.01,0.04,21,92
36,09.03.2024,23:30:32,1,1,5,74,7,542,517,0.15,2.9,0.01,0.04,21,92
37,09.03.2024,23:30:47,1,1,4,76,5,531,461,0.14,3.3,0.01,0.04,21.3,91
38,09.03.2024,23:31:02,1,1,4,76,5,524,275,0.14,3.8,0.01,0.04,21,92
39,09.03.2024,23:31:17,1,1,4,69,5,522,477,0.15,4.2,0.01,0.03,20.9,91
40,09.03.2024,23:31:32,1,1,4,68,5,519,543,0.14,4.7,0.01,0.04,21.1,91
41,09.03.2024,23:31:47,1,1,4,60,5,515,508,0.15,6.2,0.01,0.04,21.2,91
42,09.03.2024,23:32:02,1,1,5,68,7,519,558,0.14,6.7,0.04,0.03,21,91
43,09.03.2024,23:32:17,1,1,5,69,7,523,353,0.14,7.3,0.01,0.03,21.2,91
44,09.03.2024,23:32:32,1,1,4,74,5,521,336,0.16,7.9,0.01,0.03,21.1,91
45,09.03.2024,23:32:47,1,1,5,76,7,512,354,0.16,8.5,0.09,0.04,21.4,91
46,09.03.2024,23:33:02,1,1,4,76,5,510,459,0.16,9.8,0.17,0.04,21.4,90
47,09.03.2024,23:33:17,1,1,2,76,4,511,305,0.14,10.5,0.37,0.04,21.4,90
48,09.03.2024,23:33:32,1,1,4,76,5,513,353,0.15,11.2,0.01,0.03,21.4,90
49,09.03.2024,23:33:47,1,1,2,60,4,511,440,0.16,11.9,0.01,0.03,21.7,90
50,09.03.2024,23:34:02,1,1,2,68,4,500,354,0.16,9.8,0.18,0.04,21.2,90
51,09.03.2024,23:34:17,1,1,2,69,4,500,431,0.14,6.2,0.01,0.03,21,92
52,09.03.2024,23:34:32,1,1,2,74,4,500,291,0.14,6.7,0.01,0.03,21,92
53,09.03.2024,23:34:47,1,1,2,76,4,501,338,0.15,6.2,0.01,0.03,21.3,91
54,09.03.2024,23:35:02,1,1,2,76,4,491,531,0.14,6.7,0.01,0.03,21.4,90
55,09.03.2024,23:35:17,1,1,4,69,5,498,381,0.14,7.3,0.01,0.04,21.4,90
56,09.03.2024,23:35:32,1,1,4,69,5,502,509,0.15,7.9,0.01,0.03,20.8,91
57,09.03.2024,23:35:47,1,1,4,74,5,507,463,0.15,8.5,0.01,0.04,20.6,93
58,09.03.2024,23:36:02,1,1,4,76,5,508,365,0.15,9.8,0.01,0.03,20.7,92
59,09.03.2024,23:36:17,1,1,2,76,4,500,443,0.15,10.5,0.01,0.03,20.9,92
60,09.03.2024,23:36:32,1,1,2,76,4,500,509,0.15,11.2,0.09,0.04,20.9,92
61,09.03.2024,23:36:47,1,1,2,76,4,508,551,0.15,11.9,0.25,0.03,21.1,91
62,09.03.2024,23:37:02,1,1,3,60,4,498,413,0.15,15.8,0.03,0.03,20.9,91
63,09.03.2024,23:37:17,1,1,3,68,4,501,413,0.16,16.7,0.01,0.03,21,92
64,09.03.2024,23:37:32,1,1,3,69,4,499,554,0.15,17.5,0.01,0.03,20.9,92
65,09.03.2024,23:37:47,1,1,3,64,4,497,531,0.16,18.4,0.01,0.03,20.8,92
66,09.03.2024,23:38:02,1,1,4,68,5,498,451,0.17,19.3,0.01,0.03,21.2,91
67,09.03.2024,23:38:17,1,1,4,69,5,498,393,0.15,20.2,0.01,0.03,21.2,91
68,09.03.2024,23:38:32,1,1,4,72,5,504,298,0.15,21.1,0.01,0.03,21.2,91
69,09.03.2024,23:38:47,1,1,4,74,5,498,297,0.16,22.1,0.01,0.03,21.5,90
70,09.03.2024,23:39:02,1,1,2,76,4,493,468,0.16,31.3,0.01,0.03,21.5,90
71,09.03.2024,23:39:17,1,1,4,76,5,490,510,0.17,36,0.01,0.03,21.6,90
72,09.03.2024,23:39:32,1,1,3,69,4,486,417,0.16,39.7,0.01,0.03,21.7,90
73,09.03.2024,23:39:48,1,1,2,60,4,486,429,0.15,40.9,0.01,0.03,21.5,90
74,09.03.2024,23:40:03,1,1,2,68,4,482,449,0.15,44.8,0.01,0.03,21.7,89
75,09.03.2024,23:40:18,1,1,2,69,4,482,294,0.15,49,0.01,0.03,21.3,90
76,09.03.2024,23:40:33,1,1,2,72,4,475,556,0.16,54.9,0.01,0.03,21,91
77,09.03.2024,23:40:48,1,1,2,74,4,475,394,0.16,51,0.01,0.03,21.1,91
78,09.03.2024,23:41:03,1,1,4,76,5,469,394,0.15,51,0.01,0.03,21.2,91
79,09.03.2024,23:41:18,1,1,4,76,5,469,319,0.16,51,0.01,0.03,21.3,91
80,09.03.2024,23:41:33,1,1,4,69,5,463,304,0.17,53,0.01,0.03,21.6,90
81,09.03.2024,23:41:48,1,1,4,68,5,463,510,0.17,53,0.01,0.03,21.5,89
82,09.03.2024,23:42:03,1,1,4,60,5,458,539,0.17,53,0.01,0.03,21.1,90
83,09.03.2024,23:42:18,1,1,4,68,5,458,371,0.17,50,0.01,0.04,21,91
84,09.03.2024,23:42:33,1,1,2,69,4,447,308,0.17,49.7,0.01,0.03,20.8,92
85,09.03.2024,23:42:48,1,1,2,74,4,442,297,0.15,47.6,0.01,0.03,21.2,91
86,09.03.2024,23:43:03,1,1,2,76,4,434,523,0.17,45.4,0.01,0.03,21.3,90
87,09.03.2024,23:43:18,1,1,2,76,4,434,323,0.16,43.2,0.01,0.03,21.5,90
88,09.03.2024,23:43:33,1,1,4,76,5,428,557,0.16,41,0.01,0.03,21.6,90
89,09.03.2024,23:43:48,1,1,4,76,5,428,385,0.17,38.8,0.01,0.03,21.5,90
90,09.03.2024,23:44:03,1,1,4,60,5,418,533,0.16,36.6,0.01,0.03,21.3,90
91,09.03.2024,23:44:18,1,1,4,68,5,418,348,0.16,34.4,0.01,0.03,21.4,90
92,09.03.2024,23:44:33,1,1,4,69,5,409,357,0.17,32.2,0.01,0.03,21.7,89
93,09.03.2024,23:44:48,1,1,4,74,5,409,365,0.18,30,0.01,0.03,21.5,90
94,09.03.2024,23:45:03,1,1,4,76,5,413,319,0.17,27.8,0.01,0.03,21.2,90
95,09.03.2024,23:45:18,1,1,4,76,5,413,387,0.17,31.3,0.01,0.03,21.6,90
96,09.03.2024,23:45:33,1,1,4,69,5,416,350,0.16,33,0.01,0.03,21.8,89
97,09.03.2024,23:45:48,1,1,4,69,5,419,469,0.17,34.7,0.01,0.03,21.9,89
98,09.03.2024,23:46:03,1,1,4,74,5,415,528,0.16,36.4,0.01,0.03,22,89
99,09.03.2024,23:46:18,1,1,4,76,5,413,313,0.18,38.1,0.01,0.03,21.6,89
100,09.03.2024,23:46:33,1,1,4,76,5,411,393,0.18,39.8,0.01,0.03,21.7,89
101,09.03.2024,23:46:48,1,1,2,76,4,406,397,0.18,41.5,0.01,0.03,21.7,89
102,09.03.2024,23:47:03,1,1,1,76,2,403,446,0.18,43.2,0.01,0.03,22,89
103,09.03.2024,23:47:18,1,1,1,60,2,403,409,0.17,44.9,0.01,0.03,21.8,89
104,09.03.2024,23:47:33,1,1,1,68,2,403,414,0.17,46.6,0.01,0.03,21.7,89
105,09.03.2024,23:47:48,1,1,1,69,2,408,493,0.17,48.3,0.01,0.03,21.7,89
106,09.03.2024,23:48:03,1,1,1,64,2,408,545,0.18,50,0.01,0.03,21.4,89
107,09.03.2024,23:48:18,1,1,1,68,2,416,473,0.18,51.7,0.01,0.03,21.6,89
108,09.03.2024,23:48:33,1,1,1,47,2,416,314,0.17,53.4,0.01,0.03,21.6,89
109,09.03.2024,23:48:48,1,1,1,35,2,422,335,0.17,55.1,0.01,0.03,21.7,89
110,09.03.2024,23:49:03,1,1,1,21,2,424,435,0.18,50,0.01,0.03,21.8,89
111,09.03.2024,23:49:18,1,1,1,13,2,426,429,0.17,51.7,0.01,0.03,21.6,89
112,09.03.2024,23:49:33,1,1,1,11,2,426,361,0.17,52.5,0.01,0.03,21.6,89
113,09.03.2024,23:49:48,1,1,1,4,2,432,463,0.21,52.6,0.01,0.03,21.7,89
114,09.03.2024,23:50:03,1,1,0,11,1,439,360,0.22,52.8,0.01,0.03,21.8,89
115,09.03.2024,23:50:18,1,1,0,13,1,446,522,0.21,52.9,0.01,0.03,21.7,89
116,09.03.2024,23:50:34,1,1,1,16,2,448,444,0.22,53.1,0.01,0.03,21.6,89
117,09.03.2024,23:50:49,1,1,1,18,2,448,558,0.21,53.2,0.01,0.03,21.7,89
118,09.03.2024,23:51:04,1,1,1,21,2,450,364,0.22,53.4,0.01,0.03,21.7,89
119,09.03.2024,23:51:19,1,1,1,24,2,456,308,0.23,53.5,0.01,0.03,21.6,89
120,09.03.2024,23:51:34,1,1,1,27,2,456,467,0.22,53.7,0.01,0.03,21.9,89
121,09.03.2024,23:51:49,1,1,1,31,2,464,266,0.22,53.8,0.01,0.03,21.8,88
122,09.03.2024,23:52:04,1,1,1,35,2,467,309,0.23,55.8,0.01,0.03,21.8,89
123,09.03.2024,23:52:19,1,1,2,37,4,475,289,0.25,49.7,0.01,0.03,21.8,89
124,09.03.2024,23:52:34,1,1,2,42,4,480,453,0.24,47.6,0.01,0.03,21.8,89
125,09.03.2024,23:52:49,1,1,2,45,4,480,396,0.23,45.4,0.01,0.03,21.9,89
126,09.03.2024,23:53:04,1,1,1,47,3,486,364,0.23,43.2,0.01,0.03,21.8,88
127,09.03.2024,23:53:19,1,1,1,48,2,490,328,0.23,41,0.01,0.03,22,88
128,09.03.2024,23:53:34,1,1,0,49,1,490,488,0.23,38.8,0.01,0.03,22.1,88
129,09.03.2024,23:53:49,1,1,1,53,2,490,389,0.24,36.6,0.01,0.03,21.9,88
130,09.03.2024,23:54:04,1,1,0,54,1,492,348,0.25,36.5,0.01,0.03,21.6,88
131,09.03.2024,23:54:19,1,1,1,57,2,485,493,0.24,34.8,0.01,0.03,21.7,89
132,09.03.2024,23:54:34,1,1,1,59,2,486,414,0.26,33.1,0.01,0.03,22,89
133,09.03.2024,23:54:49,1,1,1,60,2,486,475,0.26,27.8,0.01,0.03,21.8,88
134,09.03.2024,23:55:04,1,1,1,68,2,482,316,0.27,31.3,0.01,0.03,21.7,89
135,09.03.2024,23:55:19,1,1,2,69,4,482,536,0.26,33,0.01,0.03,21.6,89
136,09.03.2024,23:55:34,1,1,4,72,5,475,307,0.28,34.7,0.02,0.03,21.3,90
137,09.03.2024,23:55:49,1,1,4,74,5,475,324,0.29,36.4,0.04,0.03,20.9,91
138,09.03.2024,23:56:04,1,1,5,76,7,469,459,0.28,38.1,0.06,0.03,20.9,92
139,09.03.2024,23:56:19,1,1,5,76,7,469,302,0.21,39.8,0.01,0.03,21,92
140,09.03.2024,23:56:34,1,1,5,69,7,463,532,0.22,41.5,0.01,0.03,21.5,91
141,09.03.2024,23:56:49,1,1,5,68,7,463,352,0.21,43.2,0.01,0.03,21.8,89
142,09.03.2024,23:57:04,1,1,4,60,6,458,309,0.22,44.9,0.01,0.03,21.9,89
143,09.03.2024,23:57:19,1,1,4,68,5,458,277,0.21,46.6,0.01,0.03,21.8,89
144,09.03.2024,23:57:34,1,1,5,69,7,447,524,0.22,48.3,0.01,0.03,21.9,89
145,09.03.2024,23:57:49,1,1,5,74,7,442,346,0.23,50,0.01,0.03,21.8,89
146,09.03.2024,23:58:04,1,1,5,76,7,434,298,0.28,51.7,0.01,0.03,21.8,89
147,09.03.2024,23:58:19,1,1,5,76,7,434,448,0.31,53.4,0.01,0.03,21.5,89
148,09.03.2024,23:58:34,1,1,4,76,5,428,394,0.3,55.1,0.01,0.03,21.7,89
149,09.03.2024,23:58:49,1,1,4,76,6,428,560,0.31,50,0.01,0.03,21.7,89
150,09.03.2024,23:59:04,1,1,4,60,5,418,541,0.32,51.7,0.01,0.03,21.4,90
151,09.03.2024,23:59:19,1,1,5,68,7,418,440,0.32,52.5,0.01,0.03,21.6,90
152,09.03.2024,23:59:34,1,1,5,69,7,409,308,0.33,52.6,0.01,0.03,21.2,90
153,09.03.2024,23:59:49,1,1,4,74,5,409,450,0.34,52.8,0.01,0.03,21.2,91
154,10.03.2024,00:00:04,1,1,4,76,6,413,343,0.37,52.9,0.01,0.03,21.5,90
155,10.03.2024,00:00:19,1,1,4,76,5,413,552,0.37,53.1,0.01,0.03,21.4,90
156,10.03.2024,00:00:34,1,1,4,69,5,416,546,0.38,52.8,0.01,0.03,21.3,90
157,10.03.2024,00:00:49,1,1,4,69,5,419,391,0.38,52.8,0.01,0.03,21.5,90
158,10.03.2024,00:01:04,1,1,5,74,7,415,524,0.39,52.9,0.01,0.03,21.6,89
159,10.03.2024,00:01:20,1,1,5,76,7,413,269,0.4,52.9,0.01,0.03,21.6,89
160,10.03.2024,00:01:35,1,1,5,76,8,411,360,0.4,52.9,0.01,0.03,20.9,91
161,10.03.2024,00:01:50,1,1,5,76,7,406,492,0.41,53,0.01,0.03,20.8,92
162,10.03.2024,00:02:05,1,1,5,76,7,403,535,0.45,53,0.01,0.03,21.3,91
163,10.03.2024,00:02:20,1,1,5,60,7,403,562,0.4,53.1,0.01,0.03,21.5,91
164,10.03.2024,00:02:35,1,1,4,68,5,403,285,0.42,53.1,0.01,0.03,21.6,90
165,10.03.2024,00:02:50,1,1,4,69,5,398,361,0.41,53.1,0.01,0.03,21.5,90
166,10.03.2024,00:03:05,1,1,4,64,5,398,514,0.41,53.2,0.01,0.03,21.5,89
167,10.03.2024,00:03:20,1,1,4,76,5,402,446,0.41,53.2,0.01,0.03,21.6,90
168,10.03.2024,00:03:35,1,1,4,69,5,406,536,0.41,53.2,0.01,0.03,21.7,89
