id,Date,Complete_Hour,latitude,longitude,PM1,PM2.5,PM10,CO2,TVOC,O3,CO,NO2,CH2O,temperature,humidity
1,09.03.2024,23:21:46,1,1,0,0,0,0,0,0,0,0,0,0,0
2,09.03.2024,23:22:01,1,1,0,0,0,500,0,0,0.5,0.01,0.01,21.6,89
3,09.03.2024,23:22:16,1,1,5,7,7,500,0,0.09,0.5,0.01,0.06,21.1,90
4,09.03.2024,23:22:31,1,1,8,11,13,500,0,0.07,0.5,0.01,0.05,21,91
5,09.03.2024,23:22:46,1,1,7,9,9,542,0,0.13,0.5,0.01,0.05,20.9,92
6,09.03.2024,23:23:01,1,1,5,8,8,531,0,0.2,0.5,0.01,0.04,21,91
7,09.03.2024,23:23:16,1,1,5,8,8,524,0,0.24,0.5,0.01,0.05,20.9,91
8,09.03.2024,23:23:31,1,1,5,7,7,522,0,0.25,0.5,0.01,0.04,21.1,91
9,09.03.2024,23:23:46,1,1,5,8,8,519,0,0.26,0.5,0.01,0.05,21.2,91
10,09.03.2024,23:24:01,1,1,5,8,8,515,0,0.22,0.5,0.01,0.05,21.3,91
11,09.03.2024,23:24:16,1,1,5,8,8,519,0,0.29,0.5,0.01,0.04,21.4,91
12,09.03.2024,23:24:31,1,1,6,8,8,523,0,0.25,0.5,0.01,0.05,21.3,91
13,09.03.2024,23:24:46,1,1,7,9,9,521,0,0.21,0.5,0.01,0.04,21.4,90
14,09.03.2024,23:25:01,1,1,7,10,11,512,0,0.19,0.5,0.01,0.05,21.2,91
15,09.03.2024,23:25:16,1,1,9,12,14,510,0,0.22,0.5,0.01,0.04,21.3,91
16,09.03.2024,23:25:31,1,1,9,12,14,511,0,0.18,0.5,0.01,0.04,21.1,91
17,09.03.2024,23:25:46,1,1,9,12,14,513,0,0.14,0.5,0.01,0.05,21.4,91
18,09.03.2024,23:26:01,1,1,7,10,11,511,0,0.14,0.5,0.01,0.04,21.1,91
19,09.03.2024,23:26:16,1,1,7,9,10,500,0,0.2,0.5,0.01,0.04,21.1,91
20,09.03.2024,23:26:31,1,1,7,9,9,500,0,0.17,0.5,0.01,0.04,21.2,91
21,09.03.2024,23:26:46,1,1,7,9,9,500,0,0.2,0.5,0.01,0.05,21.2,91
22,09.03.2024,23:27:01,1,1,8,11,12,501,0,0.2,0.5,0.01,0.04,21.2,91
23,09.03.2024,23:27:16,1,1,8,11,12,491,0,0.16,0.5,0.01,0.05,20.8,92
24,09.03.2024,23:27:31,1,1,7,10,11,498,0,0.14,0.5,0.01,0.05,20.9,92
25,09.03.2024,23:27:46,1,1,8,11,12,502,0,0.15,0.5,0.01,0.04,20.5,93
26,09.03.2024,23:28:01,1,1,7,9,9,507,0,0.18,0.5,0.01,0.04,20.7,93
27,09.03.2024,23:28:16,1,1,7,9,9,508,0,0.23,0.5,0.01,0.04,21.1,92
28,09.03.2024,23:28:31,1,1,7,9,9,500,0,0.27,0.5,0.01,0.04,21.1,91
29,09.03.2024,23:28:47,1,1,5,8,8,500,0,0.22,0.5,0.01,0.04,21.3,91
30,09.03.2024,23:29:02,1,1,5,7,7,508,0,0.23,0.5,0.01,0.04,21.3,91
31,09.03.2024,23:29:17,1,1,5,7,7,498,0,0.21,0.5,0.01,0.04,21.4,91
32,09.03.2024,23:29:32,1,1,5,7,7,501,0,0.19,0.5,0.01,0.04,21.3,90
33,09.03.2024,23:29:47,1,1,5,8,8,499,0,0.17,0.5,0.01,0.04,21,91
34,09.03.2024,23:30:02,1,1,5,8,8,497,0,0.17,0.5,0.01,0.04,21.2,92
35,09.03.2024,23:30:17,1,1,5,8,8,498,0,0.16,0.5,0.01,0.04,21,92
36,09.03.2024,23:30:32,1,1,5,7,7,498,0,0.15,0.5,0.01,0.04,21,92
37,09.03.2024,23:30:47,1,1,4,5,5,504,0,0.22,0.5,0.01,0.04,21.3,91
38,09.03.2024,23:31:02,1,1,4,5,5,498,0,0.2,0.5,0.01,0.04,21,92
39,09.03.2024,23:31:17,1,1,4,5,5,493,0,0.17,0.5,0.01,0.03,20.9,91
40,09.03.2024,23:31:32,1,1,4,5,5,501,0,0.18,0.5,0.01,0.04,21.1,91
41,09.03.2024,23:31:47,1,1,4,5,5,496,0,0.17,0.5,0.01,0.04,21.2,91
42,09.03.2024,23:32:02,1,1,5,7,7,494,0,0.13,0.5,0.04,0.03,21,91
43,09.03.2024,23:32:17,1,1,5,7,7,502,0,0.11,0.5,0.01,0.03,21.2,91
44,09.03.2024,23:32:32,1,1,4,5,5,498,0,0.14,0.5,0.01,0.03,21.1,91
45,09.03.2024,23:32:47,1,1,5,7,7,492,0,0.14,0.5,0.09,0.04,21.4,91
46,09.03.2024,23:33:02,1,1,4,5,5,492,0,0.14,0.5,0.17,0.04,21.4,90
47,09.03.2024,23:33:17,1,1,2,4,4,476,0,0.15,0.5,0.37,0.04,21.4,90
48,09.03.2024,23:33:32,1,1,4,5,5,489,0,0.1,0.5,0.01,0.03,21.4,90
49,09.03.2024,23:33:47,1,1,2,4,4,498,0,0.18,0.5,0.01,0.03,21.7,90
50,09.03.2024,23:34:02,1,1,2,4,4,499,0,0.18,0.5,0.18,0.04,21.2,90
51,09.03.2024,23:34:17,1,1,2,4,4,497,0,0.18,0.5,0.01,0.03,21,92
52,09.03.2024,23:34:32,1,1,2,4,4,493,0,0.2,0.5,0.01,0.03,21,92
53,09.03.2024,23:34:47,1,1,2,4,4,501,0,0.19,0.5,0.01,0.03,21.3,91
54,09.03.2024,23:35:02,1,1,2,4,4,501,0,0.23,0.5,0.01,0.03,21.4,90
55,09.03.2024,23:35:17,1,1,4,5,5,492,0,0.2,0.5,0.01,0.04,21.4,90
56,09.03.2024,23:35:32,1,1,4,5,5,498,0,0.15,0.5,0.01,0.03,20.8,91
57,09.03.2024,23:35:47,1,1,4,5,5,496,0,0.13,0.5,0.01,0.04,20.6,93
58,09.03.2024,23:36:02,1,1,4,5,5,501,0,0.14,0.5,0.01,0.03,20.7,92
59,09.03.2024,23:36:17,1,1,2,4,4,511,0,0.19,0.5,0.01,0.03,20.9,92
60,09.03.2024,23:36:32,1,1,2,4,4,519,0,0.22,0.5,0.09,0.04,20.9,92
61,09.03.2024,23:36:47,1,1,2,4,4,504,0,0.15,0.5,0.25,0.03,21.1,91
62,09.03.2024,23:37:02,1,1,3,4,4,505,0,0.14,0.5,0.03,0.03,20.9,91
63,09.03.2024,23:37:17,1,1,3,4,4,502,0,0.21,0.5,0.01,0.03,21,92
64,09.03.2024,23:37:32,1,1,3,4,4,499,0,0.19,0.5,0.01,0.03,20.9,92
65,09.03.2024,23:37:47,1,1,3,4,4,499,0,0.16,0.5,0.01,0.03,20.8,92
66,09.03.2024,23:38:02,1,1,4,5,5,496,0,0.17,0.5,0.01,0.03,21.2,91
67,09.03.2024,23:38:17,1,1,4,5,5,503,0,0.18,0.5,0.01,0.03,21.2,91
68,09.03.2024,23:38:32,1,1,4,5,5,502,0,0.17,0.5,0.01,0.03,21.2,91
69,09.03.2024,23:38:47,1,1,4,5,5,500,0,0.17,0.5,0.01,0.03,21.5,90
70,09.03.2024,23:39:02,1,1,2,4,4,501,0,0.23,0.5,0.01,0.03,21.5,90
71,09.03.2024,23:39:17,1,1,4,5,5,506,0,0.2,0.5,0.01,0.03,21.6,90
72,09.03.2024,23:39:32,1,1,3,4,4,503,0,0.15,0.5,0.01,0.03,21.7,90
73,09.03.2024,23:39:48,1,1,2,4,4,499,0,0.12,0.5,0.01,0.03,21.5,90
74,09.03.2024,23:40:03,1,1,2,4,4,499,0,0.16,0.5,0.01,0.03,21.7,89
75,09.03.2024,23:40:18,1,1,2,4,4,510,0,0.07,0.5,0.01,0.03,21.3,90
76,09.03.2024,23:40:33,1,1,2,4,4,498,0,0.06,0.5,0.01,0.03,21,91
77,09.03.2024,23:40:48,1,1,2,4,4,493,0,0.08,0.5,0.01,0.03,21.1,91
78,09.03.2024,23:41:03,1,1,4,5,5,494,0,0.09,0.5,0.01,0.03,21.2,91
79,09.03.2024,23:41:18,1,1,4,5,5,479,0,0.17,0.5,0.01,0.03,21.3,91
80,09.03.2024,23:41:33,1,1,4,5,5,491,0,0.1,0.5,0.01,0.03,21.6,90
81,09.03.2024,23:41:48,1,1,4,5,5,487,0,0.13,0.5,0.01,0.03,21.5,89
82,09.03.2024,23:42:03,1,1,4,5,5,494,0,0.17,0.5,0.01,0.03,21.1,90
83,09.03.2024,23:42:18,1,1,4,5,5,499,0,0.06,0.5,0.01,0.04,21,91
84,09.03.2024,23:42:33,1,1,2,4,4,499,0,0.14,0.5,0.01,0.03,20.8,92
85,09.03.2024,23:42:48,1,1,2,4,4,503,0,0.16,0.5,0.01,0.03,21.2,91
86,09.03.2024,23:43:03,1,1,2,4,4,483,0,0.17,0.5,0.01,0.03,21.3,90
87,09.03.2024,23:43:18,1,1,2,4,4,485,0,0.16,0.5,0.01,0.03,21.5,90
88,09.03.2024,23:43:33,1,1,4,5,5,489,0,0.19,0.5,0.01,0.03,21.6,90
89,09.03.2024,23:43:48,1,1,4,5,5,492,0,0.17,0.5,0.01,0.03,21.5,90
90,09.03.2024,23:44:03,1,1,4,5,5,488,0,0.15,0.5,0.01,0.03,21.3,90
91,09.03.2024,23:44:18,1,1,4,5,5,493,0,0.14,0.5,0.01,0.03,21.4,90
92,09.03.2024,23:44:33,1,1,4,5,5,487,0,0.17,0.5,0.01,0.03,21.7,89
93,09.03.2024,23:44:48,1,1,4,5,5,494,0,0.17,0.5,0.01,0.03,21.5,90
94,09.03.2024,23:45:03,1,1,4,5,5,494,0,0.15,0.5,0.01,0.03,21.2,90
95,09.03.2024,23:45:18,1,1,4,5,5,492,0,0.16,0.5,0.01,0.03,21.6,90
96,09.03.2024,23:45:33,1,1,4,5,5,488,0,0.12,0.5,0.01,0.03,21.8,89
97,09.03.2024,23:45:48,1,1,4,5,5,490,0,0.19,0.5,0.01,0.03,21.9,89
98,09.03.2024,23:46:03,1,1,4,5,5,490,0,0.23,0.5,0.01,0.03,22,89
99,09.03.2024,23:46:18,1,1,4,5,5,492,0,0.14,0.5,0.01,0.03,21.6,89
100,09.03.2024,23:46:33,1,1,4,5,5,485,0,0.06,0.5,0.01,0.03,21.7,89
101,09.03.2024,23:46:48,1,1,2,4,4,493,0,0.04,0.5,0.01,0.03,21.7,89
102,09.03.2024,23:47:03,1,1,1,2,2,489,0,0.06,0.5,0.01,0.03,22,89
103,09.03.2024,23:47:18,1,1,1,2,2,488,0,0.15,0.5,0.01,0.03,21.8,89
104,09.03.2024,23:47:33,1,1,1,2,2,483,0,0.15,0.5,0.01,0.03,21.7,89
105,09.03.2024,23:47:48,1,1,1,2,2,477,0,0.11,0.5,0.01,0.03,21.7,89
106,09.03.2024,23:48:03,1,1,1,2,2,491,0,0.1,0.5,0.01,0.03,21.4,89
107,09.03.2024,23:48:18,1,1,1,2,2,490,0,0.09,0.5,0.01,0.03,21.6,89
108,09.03.2024,23:48:33,1,1,1,2,2,489,0,0.12,0.5,0.01,0.03,21.6,89
109,09.03.2024,23:48:48,1,1,1,2,2,494,0,0.18,0.5,0.01,0.03,21.7,89
110,09.03.2024,23:49:03,1,1,1,2,2,492,0,0.15,0.5,0.01,0.03,21.8,89
111,09.03.2024,23:49:18,1,1,1,2,2,485,0,0.19,0.5,0.01,0.03,21.6,89
112,09.03.2024,23:49:33,1,1,1,2,2,485,0,0.17,0.5,0.01,0.03,21.6,89
113,09.03.2024,23:49:48,1,1,1,2,2,492,0,0.15,0.5,0.01,0.03,21.7,89
114,09.03.2024,23:50:03,1,1,0,1,1,482,0,0.14,0,0.01,0.03,21.8,89
115,09.03.2024,23:50:18,1,1,0,1,1,474,0,0.05,0,0.01,0.03,21.7,89
116,09.03.2024,23:50:34,1,1,1,2,2,498,0,0.09,0,0.01,0.03,21.6,89
117,09.03.2024,23:50:49,1,1,1,2,2,485,0,0.14,0,0.01,0.03,21.7,89
118,09.03.2024,23:51:04,1,1,1,2,2,486,0,0.18,0,0.01,0.03,21.7,89
119,09.03.2024,23:51:19,1,1,1,2,2,481,0,0.17,0,0.01,0.03,21.6,89
120,09.03.2024,23:51:34,1,1,1,2,2,486,0,0.15,0,0.01,0.03,21.9,89
121,09.03.2024,23:51:49,1,1,1,2,2,488,0,0.17,0,0.01,0.03,21.8,88
122,09.03.2024,23:52:04,1,1,1,2,2,486,0,0.16,0,0.01,0.03,21.8,89
123,09.03.2024,23:52:19,1,1,2,4,4,484,0,0.15,0,0.01,0.03,21.8,89
124,09.03.2024,23:52:34,1,1,2,4,4,497,0,0.05,0,0.01,0.03,21.8,89
125,09.03.2024,23:52:49,1,1,2,4,4,492,0,0.11,0,0.01,0.03,21.9,89
126,09.03.2024,23:53:04,1,1,1,3,3,495,0,0.13,0,0.01,0.03,21.8,88
127,09.03.2024,23:53:19,1,1,1,2,2,506,0,0.13,0,0.01,0.03,22,88
128,09.03.2024,23:53:34,1,1,0,1,1,493,0,0.06,0,0.01,0.03,22.1,88
129,09.03.2024,23:53:49,1,1,1,2,2,490,0,0.1,0,0.01,0.03,21.9,88
130,09.03.2024,23:54:04,1,1,0,1,1,489,0,0.06,0,0.01,0.03,21.6,88
131,09.03.2024,23:54:19,1,1,1,2,2,495,0,0.06,0,0.01,0.03,21.7,89
132,09.03.2024,23:54:34,1,1,1,2,2,488,0,0.17,0,0.01,0.03,22,89
133,09.03.2024,23:54:49,1,1,1,2,2,488,0,0.24,0,0.01,0.03,21.8,88
134,09.03.2024,23:55:04,1,1,1,2,2,486,0,0.11,0,0.01,0.03,21.7,89
135,09.03.2024,23:55:19,1,1,2,4,4,496,0,0.03,0,0.01,0.03,21.6,89
136,09.03.2024,23:55:34,1,1,4,5,5,490,0,0.1,0,0.02,0.03,21.3,90
137,09.03.2024,23:55:49,1,1,4,5,5,489,0,0.11,0,0.04,0.03,20.9,91
138,09.03.2024,23:56:04,1,1,5,7,7,487,0,0.1,0,0.06,0.03,20.9,92
139,09.03.2024,23:56:19,1,1,5,7,7,492,0,0.17,0,0.01,0.03,21,92
140,09.03.2024,23:56:34,1,1,5,7,7,494,0,0.29,0,0.01,0.03,21.5,91
141,09.03.2024,23:56:49,1,1,5,7,7,492,0,0.27,0,0.01,0.03,21.8,89
142,09.03.2024,23:57:04,1,1,4,6,6,503,0,0.16,0,0.01,0.03,21.9,89
143,09.03.2024,23:57:19,1,1,4,5,5,502,0,0.18,0,0.01,0.03,21.8,89
144,09.03.2024,23:57:34,1,1,5,7,7,497,0,0.17,0,0.01,0.03,21.9,89
145,09.03.2024,23:57:49,1,1,5,7,7,501,0,0.2,0,0.01,0.03,21.8,89
146,09.03.2024,23:58:04,1,1,5,7,7,502,0,0.23,0,0.01,0.03,21.8,89
147,09.03.2024,23:58:19,1,1,5,7,7,500,0,0.2,0,0.01,0.03,21.5,89
148,09.03.2024,23:58:34,1,1,4,5,5,501,0,0.09,0,0.01,0.03,21.7,89
149,09.03.2024,23:58:49,1,1,4,6,6,497,0,0.1,0,0.01,0.03,21.7,89
150,09.03.2024,23:59:04,1,1,4,5,5,503,0,0.1,0,0.01,0.03,21.4,90
151,09.03.2024,23:59:19,1,1,5,7,7,505,0,0.1,0,0.01,0.03,21.6,90
152,09.03.2024,23:59:34,1,1,5,7,7,506,0,0.13,0,0.01,0.03,21.2,90
153,09.03.2024,23:59:49,1,1,4,5,5,507,0,0.17,0,0.01,0.03,21.2,91
154,10.03.2024,00:00:04,1,1,4,6,6,499,0,0.17,0,0.01,0.03,21.5,90
155,10.03.2024,00:00:19,1,1,4,5,5,506,0,0.16,0,0.01,0.03,21.4,90
156,10.03.2024,00:00:34,1,1,4,5,5,509,0,0.14,0,0.01,0.03,21.3,90
157,10.03.2024,00:00:49,1,1,4,5,5,495,0,0.16,0,0.01,0.03,21.5,90
158,10.03.2024,00:01:04,1,1,5,7,7,492,0,0.16,0,0.01,0.03,21.6,89
159,10.03.2024,00:01:20,1,1,5,7,7,485,0,0.17,0,0.01,0.03,21.6,89
160,10.03.2024,00:01:35,1,1,5,8,8,495,0,0.21,0,0.01,0.03,20.9,91
161,10.03.2024,00:01:50,1,1,5,7,7,495,0,0.17,0,0.01,0.03,20.8,92
162,10.03.2024,00:02:05,1,1,5,7,7,483,0,0.18,0,0.01,0.03,21.3,91
163,10.03.2024,00:02:20,1,1,5,7,7,498,0,0.22,0,0.01,0.03,21.5,91
164,10.03.2024,00:02:35,1,1,4,5,5,493,0,0.25,0,0.01,0.03,21.6,90
165,10.03.2024,00:02:50,1,1,4,5,5,508,0,0.19,0,0.01,0.03,21.5,90
166,10.03.2024,00:03:05,1,1,4,5,5,494,0,0.15,0,0.01,0.03,21.5,89
167,10.03.2024,00:03:20,1,1,4,5,5,494,0,0.14,0,0.01,0.03,21.6,90
168,10.03.2024,00:03:35,1,1,4,5,5,497,0,0.17,0,0.01,0.03,21.7,89
169,10.03.2024,00:03:50,1,1,2,4,4,486,0,0.13,0,0.01,0.03,21.6,89
170,10.03.2024,00:04:05,1,1,2,4,4,488,0,0.18,0,0.01,0.03,21.6,90
